class_a,class_b,severity
ACE_inhibitor,ARB,4
ACE_inhibitor,anticoagulant_warfarin,1
ACE_inhibitor,digoxin,3
ACE_inhibitor,diuretic_loop,1
ACE_inhibitor,diuretic_thiazide,4
ACE_inhibitor,statin,1
ARB,antifungal_azole,3
ARB,diuretic_thiazide,4
H2_blocker,anticoagulant_warfarin,1
H2_blocker,antiepileptic_CYP_inhibitor,1
H2_blocker,antipsychotic_atypical,1
H2_blocker,antiviral_HIV,1
H2_blocker,benzo,1
H2_blocker,calcium_channel_blocker,1
NSAID,NSAID,3
NSAID,anticoagulant_warfarin,3
NSAID,antiepileptic_CYP_inducer,1
NSAID,antifungal_azole,2
NSAID,antiplatelet,4
NSAID,digoxin,2
NSAID,diuretic_loop,1
NSAID,immunosuppressant,2
PPI,antibiotic_macrolide,1
PPI,anticoagulant_warfarin,2
PPI,antiepileptic_CYP_inducer,1
PPI,antifungal_azole,1
PPI,antiplatelet,3
PPI,antipsychotic_atypical,1
PPI,antiviral_HIV,1
PPI,benzo,1
PPI,digoxin,3
PPI,immunosuppressant,3
SNRI,SSRI,2
SNRI,TCA,3
SNRI,antibiotic_fluoroquinolone,2
SNRI,anticoagulant_warfarin,3
SNRI,antifungal_azole,4
SNRI,antiplatelet,3
SNRI,antipsychotic_atypical,2
SNRI,antipsychotic_typical,1
SNRI,benzo,2
SNRI,beta_blocker,1
SNRI,opioid,3
SSRI,SSRI,1
SSRI,TCA,1
SSRI,antibiotic_macrolide,3
SSRI,anticoagulant_warfarin,3
SSRI,antiepileptic_CYP_inducer,2
SSRI,antifungal_azole,1
SSRI,antiplatelet,3
SSRI,antipsychotic_atypical,4
SSRI,antipsychotic_typical,1
SSRI,antiviral_HIV,2
SSRI,benzo,2
SSRI,beta_blocker,1
SSRI,digoxin,1
SSRI,immunosuppressant,3
SSRI,insulin,2
SSRI,opioid,3
SSRI,thyroid_hormone,2
TCA,antiepileptic_CYP_inducer,4
TCA,antiepileptic_CYP_inhibitor,1
TCA,antifungal_azole,2
TCA,antipsychotic_atypical,1
TCA,thyroid_hormone,1
antibiotic_aminoglycoside,antibiotic_aminoglycoside,3
antibiotic_aminoglycoside,digoxin,2
antibiotic_aminoglycoside,diuretic_loop,3
antibiotic_fluoroquinolone,anticoagulant_warfarin,2
antibiotic_fluoroquinolone,antiepileptic_CYP_inducer,1
antibiotic_fluoroquinolone,antifungal_azole,2
antibiotic_fluoroquinolone,antipsychotic_atypical,1
antibiotic_fluoroquinolone,digoxin,1
antibiotic_fluoroquinolone,immunosuppressant,2
antibiotic_macrolide,antibiotic_macrolide,4
antibiotic_macrolide,anticoagulant_noac,3
antibiotic_macrolide,anticoagulant_warfarin,3
antibiotic_macrolide,antiepileptic_CYP_inducer,2
antibiotic_macrolide,antifungal_azole,4
antibiotic_macrolide,antipsychotic_atypical,3
antibiotic_macrolide,antiviral_HIV,1
antibiotic_macrolide,benzo,4
antibiotic_macrolide,calcium_channel_blocker,3
antibiotic_macrolide,corticosteroid,1
antibiotic_macrolide,digoxin,2
antibiotic_macrolide,immunosuppressant,3
antibiotic_macrolide,opioid,3
antibiotic_macrolide,statin,4
anticoagulant_noac,anticoagulant_warfarin,3
anticoagulant_noac,antiepileptic_CYP_inducer,3
anticoagulant_noac,antifungal_azole,4
anticoagulant_noac,antiplatelet,3
anticoagulant_noac,antiviral_HIV,3
anticoagulant_noac,calcium_channel_blocker,1
anticoagulant_warfarin,antiepileptic_CYP_inducer,1
anticoagulant_warfarin,antiepileptic_CYP_inhibitor,1
anticoagulant_warfarin,antifungal_azole,4
anticoagulant_warfarin,antiplatelet,1
anticoagulant_warfarin,antipsychotic_atypical,1
anticoagulant_warfarin,antiviral_HIV,2
anticoagulant_warfarin,benzo,1
anticoagulant_warfarin,calcium_channel_blocker,1
anticoagulant_warfarin,corticosteroid,2
anticoagulant_warfarin,immunosuppressant,1
anticoagulant_warfarin,opioid,1
anticoagulant_warfarin,statin,1
antiepileptic_CYP_inducer,antiepileptic_CYP_inducer,3
antiepileptic_CYP_inducer,antiepileptic_CYP_inhibitor,3
antiepileptic_CYP_inducer,antifungal_azole,2
antiepileptic_CYP_inducer,antipsychotic_atypical,2
antiepileptic_CYP_inducer,antipsychotic_typical,1
antiepileptic_CYP_inducer,antiviral_HIV,3
antiepileptic_CYP_inducer,benzo,2
antiepileptic_CYP_inducer,calcium_channel_blocker,2
antiepileptic_CYP_inducer,corticosteroid,1
antiepileptic_CYP_inducer,digoxin,2
antiepileptic_CYP_inducer,diuretic_loop,1
antiepileptic_CYP_inducer,immunosuppressant,3
antiepileptic_CYP_inducer,metformin,2
antiepileptic_CYP_inducer,opioid,3
antiepileptic_CYP_inducer,statin,1
antiepileptic_CYP_inducer,sulfonylurea,1
antiepileptic_CYP_inducer,thyroid_hormone,1
antiepileptic_CYP_inhibitor,antiplatelet,2
antiepileptic_CYP_inhibitor,antipsychotic_atypical,1
antiepileptic_CYP_inhibitor,antipsychotic_typical,1
antiepileptic_CYP_inhibitor,antiviral_HIV,1
antiepileptic_CYP_inhibitor,benzo,2
antifungal_azole,antifungal_azole,1
antifungal_azole,antipsychotic_atypical,2
antifungal_azole,antipsychotic_typical,2
antifungal_azole,antiviral_HIV,2
antifungal_azole,benzo,4
antifungal_azole,beta_blocker,1
antifungal_azole,calcium_channel_blocker,4
antifungal_azole,corticosteroid,4
antifungal_azole,digoxin,4
antifungal_azole,diuretic_thiazide,1
antifungal_azole,immunosuppressant,4
antifungal_azole,opioid,4
antifungal_azole,statin,4
antifungal_azole,sulfonylurea,4
antiplatelet,beta_blocker,1
antiplatelet,calcium_channel_blocker,1
antiplatelet,corticosteroid,1
antiplatelet,opioid,1
antiplatelet,thyroid_hormone,3
antipsychotic_atypical,antipsychotic_atypical,3
antipsychotic_atypical,benzo,1
antipsychotic_atypical,digoxin,1
antipsychotic_atypical,diuretic_loop,3
antipsychotic_atypical,immunosuppressant,3
antipsychotic_atypical,insulin,2
antiviral_HIV,antiviral_HIV,4
antiviral_HIV,benzo,4
antiviral_HIV,calcium_channel_blocker,1
antiviral_HIV,corticosteroid,1
antiviral_HIV,digoxin,3
antiviral_HIV,immunosuppressant,4
antiviral_HIV,opioid,3
antiviral_HIV,statin,4
benzo,digoxin,1
benzo,opioid,3
beta_blocker,calcium_channel_blocker,1
beta_blocker,digoxin,3
beta_blocker,immunosuppressant,3
calcium_channel_blocker,digoxin,2
calcium_channel_blocker,immunosuppressant,2
calcium_channel_blocker,opioid,1
calcium_channel_blocker,statin,4
corticosteroid,immunosuppressant,2
corticosteroid,thyroid_hormone,1
digoxin,diuretic_thiazide,3
digoxin,immunosuppressant,1
digoxin,metformin,2
digoxin,opioid,1
digoxin,statin,2
diuretic_loop,immunosuppressant,2
diuretic_loop,thyroid_hormone,1
immunosuppressant,immunosuppressant,2
immunosuppressant,statin,4
opioid,opioid,3
statin,sulfonylurea,1
