drug1,class1,drug2,class2,severity,source
dabigatran,anticoagulant_noac,warfarin,anticoagulant_warfarin,3,FDA label (openFDA)
warfarin,anticoagulant_warfarin,aspirin,antiplatelet,1,FDA label (openFDA)
warfarin,anticoagulant_warfarin,clopidogrel,antiplatelet,1,FDA label (openFDA)
warfarin,anticoagulant_warfarin,ibuprofen,NSAID,1,FDA label (openFDA)
naproxen,NSAID,warfarin,anticoagulant_warfarin,3,FDA label (openFDA)
warfarin,anticoagulant_warfarin,diclofenac,NSAID,1,FDA label (openFDA)
warfarin,anticoagulant_warfarin,atorvastatin,statin,1,FDA label (openFDA)
warfarin,anticoagulant_warfarin,amlodipine,calcium_channel_blocker,1,FDA label (openFDA)
warfarin,anticoagulant_warfarin,verapamil,calcium_channel_blocker,1,FDA label (openFDA)
warfarin,anticoagulant_warfarin,diltiazem,calcium_channel_blocker,1,FDA label (openFDA)
fluconazole,antifungal_azole,warfarin,anticoagulant_warfarin,2,FDA label (openFDA)
itraconazole,antifungal_azole,warfarin,anticoagulant_warfarin,4,FDA label (openFDA)
warfarin,anticoagulant_warfarin,ketoconazole,antifungal_azole,1,FDA label (openFDA)
clarithromycin,antibiotic_macrolide,warfarin,anticoagulant_warfarin,3,FDA label (openFDA)
warfarin,anticoagulant_warfarin,erythromycin,antibiotic_macrolide,1,FDA label (openFDA)
warfarin,anticoagulant_warfarin,ciprofloxacin,antibiotic_fluoroquinolone,1,FDA label (openFDA)
ritonavir,antiviral_HIV,warfarin,anticoagulant_warfarin,2,FDA label (openFDA)
lopinavir,antiviral_HIV,warfarin,anticoagulant_warfarin,2,FDA label (openFDA)
warfarin,anticoagulant_warfarin,carbamazepine,antiepileptic_CYP_inducer,1,FDA label (openFDA)
warfarin,anticoagulant_warfarin,phenytoin,antiepileptic_CYP_inducer,1,FDA label (openFDA)
warfarin,anticoagulant_warfarin,cyclosporine,immunosuppressant,1,FDA label (openFDA)
warfarin,anticoagulant_warfarin,sertraline,SSRI,1,FDA label (openFDA)
fluoxetine,SSRI,warfarin,anticoagulant_warfarin,3,FDA label (openFDA)
paroxetine,SSRI,warfarin,anticoagulant_warfarin,3,FDA label (openFDA)
warfarin,anticoagulant_warfarin,venlafaxine,SNRI,1,FDA label (openFDA)
duloxetine,SNRI,warfarin,anticoagulant_warfarin,3,FDA label (openFDA)
warfarin,anticoagulant_warfarin,alprazolam,benzo,1,FDA label (openFDA)
warfarin,anticoagulant_warfarin,omeprazole,PPI,1,FDA label (openFDA)
